Fold,F1_Macro,F1_Micro,Precision_Macro,Recall_Macro,Accuracy
1,0.7594246031746031,0.8048780487804879,0.7434343434343433,0.7910714285714286,0.8048780487804879
2,0.781456043956044,0.8292682926829268,0.7875,0.7908834586466165,0.8292682926829268
3,0.6054812834224599,0.6585365853658537,0.6099206349206349,0.6379442925495556,0.6585365853658537
4,0.6591079059829059,0.7317073170731707,0.6694444444444445,0.687719298245614,0.7317073170731707
5,0.6637894288150044,0.7560975609756098,0.7936651583710407,0.6866541353383459,0.7560975609756098
