accuracy,f1_macro,f1_micro,precision,recall,n_features
0.6829268292682926,0.5652501342589297,0.6829268292682926,0.5729509379509379,0.5737024379129643,500
0.7365853658536585,0.6581900264268686,0.7365853658536585,0.667819484651915,0.6728548644338117,1000
0.6634146341463414,0.5571130221571399,0.6634146341463414,0.5701097105508871,0.5572163362952838,2000
0.7317073170731707,0.6341615110825637,0.7317073170731707,0.6504535333947098,0.6464114832535885,3000
