Fold,F1_Macro,F1_Micro,Precision_Macro,Recall_Macro,Accuracy
1,0.7436186186186186,0.8048780487804879,0.75,0.7785714285714286,0.8048780487804879
2,0.6846195743254567,0.7560975609756098,0.6979166666666666,0.6924982911825017,0.7560975609756098
3,0.6100668337510442,0.7073170731707317,0.6473684210526316,0.6876281613123719,0.7073170731707317
4,0.6071266968325792,0.7317073170731707,0.6083333333333334,0.6223684210526316,0.7317073170731707
5,0.656167328042328,0.7073170731707317,0.7581699346405228,0.6639097744360902,0.7073170731707317
