fold,accuracy,f1_macro,f1_micro,precision,recall,silhouette,nmi,ari
1,0.8048780487804879,0.7122628726287262,0.8048780487804879,0.7261904761904762,0.7053571428571428,0.21992087364196777,0.6092773418658284,0.5386904761904762
2,0.8536585365853658,0.8018162393162392,0.8536585365853658,0.8208333333333333,0.8040413533834587,0.21508176624774933,0.4921015390192755,0.3828594810641765
3,0.7560975609756098,0.6235119047619047,0.7560975609756098,0.6333333333333334,0.6205997949419002,0.17793965339660645,0.6050136684082826,0.5247482354330941
4,0.7560975609756098,0.5744088482074752,0.7560975609756098,0.5431286549707602,0.6176236044657097,0.20642822980880737,0.6046341213947646,0.6072570654835643
5,0.7804878048780488,0.7217261904761905,0.7804878048780488,0.8018353174603174,0.7259398496240601,0.14662925899028778,0.5279883589746674,0.4300560503114732
