Model,Accuracy,Precision (Macro),Precision (Micro),Recall (Macro),Recall (Micro),F1 (Macro),F1 (Micro),C-Index,N_Features
K-Nearest Neighbors,0.7560975609756098,0.6767676767676768,0.7560975609756098,0.6561431989063569,0.7560975609756098,0.6511538276244159,0.7560975609756098,0.8501486770836615,10000
SVM (Linear),0.7073170731707317,0.613835725677831,0.7073170731707317,0.5751452494873547,0.7073170731707317,0.582585725677831,0.7073170731707317,0.8291292415711919,10000
Logistic Regression,0.6829268292682927,0.5436507936507936,0.6829268292682927,0.5490003417634997,0.6829268292682927,0.5457969615578311,0.6829268292682927,0.8238424006612861,10000
XGBoost,0.6585365853658537,0.4672739541160594,0.6585365853658537,0.502904989747095,0.6585365853658537,0.4736842105263158,0.6585365853658537,0.8040404885606124,10000
Random Forest,0.6097560975609756,0.5616666666666666,0.6097560975609756,0.5369958988380041,0.6097560975609756,0.509054834054834,0.6097560975609756,0.8446969515854964,10000
Gradient Boosting,0.5365853658536586,0.5848214285714286,0.5365853658536586,0.48453520164046476,0.5365853658536586,0.46190476190476193,0.5365853658536586,0.7318286276103614,10000
SVM (RBF),0.4634146341463415,0.11585365853658537,0.4634146341463415,0.25,0.4634146341463415,0.15833333333333333,0.4634146341463415,0.5,10000
Naive Bayes,0.4634146341463415,0.19655172413793104,0.4634146341463415,0.2951127819548872,0.4634146341463415,0.23590686274509803,0.4634146341463415,0.5432060513329864,10000
Decision Tree,0.3170731707317073,0.2906785243741766,0.3170731707317073,0.2922932330827067,0.3170731707317073,0.24216524216524216,0.3170731707317073,0.5469698328057461,10000
