,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-FX-A2QS-01A,-0.6771717,-0.37765738,0.38145977,-0.67731243,-0.162709,-0.19413796,-0.026769038,0.30432567,-0.44750783,-0.09877123,-0.3246663,0.85114175,0.08011627,-0.20079477,-0.03820629,0,train
TCGA-FX-A76Y-01A,-0.2535578,0.019587578,-0.3627825,0.4974542,-0.042688116,0.122056946,-0.3511327,-0.3206756,0.550194,0.3621612,-0.14702779,-0.7538303,-0.12863061,-0.30250978,-0.48366258,1,train
TCGA-DX-A8BO-01A,0.033752102,-0.119871154,0.4960964,-0.2245449,-0.118809514,-0.045030735,-0.22034012,-0.47361204,0.3583323,-0.36927062,-0.17623976,-0.6079788,-0.100050904,0.4156652,0.693387,2,train
TCGA-DX-A48R-01A,0.5610055,-0.05884499,-0.30643225,-0.3133264,-0.2031902,0.7410837,0.40833092,0.06275209,0.30665705,0.4543033,0.26205438,0.22778115,-0.27140626,-0.7885751,-0.38131958,1,train
TCGA-DX-A6BB-01A,0.6292699,-0.12811759,0.27262744,-0.14158395,-0.56633383,0.43302572,0.7154717,-0.07304101,-0.472238,0.24017262,-0.1395698,-0.66259235,0.18400513,-0.092793256,-0.29291558,1,train
TCGA-DX-A3LW-01A,0.2730121,-0.19941425,0.10728367,0.2098029,0.1817657,-0.033058833,0.36323237,0.0020123073,0.14163588,-0.07560974,-0.35100162,0.07113268,0.9944107,0.3105632,-0.067554854,0,train
TCGA-QC-AA9N-01A,-1.2135886,0.74775285,-0.18865079,-0.012098598,-1.4680251,0.81211317,0.31462038,-1.5126624,-0.46797326,-0.28384802,-0.46076426,-0.14971033,0.23516217,1.3436015,-0.15820886,2,train
TCGA-WK-A8XO-01A,-0.6345778,0.17685539,-0.14135219,-0.28799418,-0.3284703,-0.2631699,0.08510416,0.07258954,0.6072099,0.6177039,-0.41313863,-0.06516518,-0.34937447,0.6660629,0.21579064,0,train
TCGA-3B-A9HL-01A,-0.029821342,0.15907064,-0.18462959,-0.09011887,-0.14376958,-0.33402088,-0.0031194421,0.31933978,-0.6912356,-0.123783745,-0.6965117,0.20801349,0.30328715,0.3025014,-0.27192676,0,train
TCGA-DX-A3U5-01A,0.40362543,0.3363583,0.3830992,-0.4060365,0.34992898,-0.07629042,0.40094727,-0.039796643,0.1679182,-0.06913251,-0.2252923,-0.23578954,0.47658148,0.30745468,0.42841193,0,train
TCGA-DX-A1L0-01A,0.1746677,-0.014452479,0.13389347,-0.24704476,0.60355353,0.33090657,-0.3143224,0.23361841,-0.27200946,0.0716374,-0.5199028,0.47099137,0.5228736,0.24273735,-0.04356174,0,train
TCGA-DX-A8BH-01A,0.24312548,0.08434134,-0.56672364,0.12084198,-0.15515544,-0.21637505,-0.0042014406,0.26140356,-0.272414,-0.19531797,-0.26280096,-0.13262509,-0.19097356,0.37360027,0.702312,2,train
TCGA-PC-A5DL-01A,0.44741502,0.0036346756,-0.23953775,0.003684905,-0.26578087,-0.04496812,0.12789324,0.48011068,-0.296488,0.11381976,0.17445345,-0.32389343,-0.031113435,0.3507566,-0.8889113,1,train
TCGA-FX-A48G-01A,-0.11696179,0.23507819,0.13095258,0.09293594,0.3189521,0.13727579,-0.23687233,-0.26054305,0.87110376,-0.16527772,0.2509363,-0.9634799,0.3468835,-0.5561079,0.14934582,1,train
TCGA-IF-A4AJ-01A,-0.051435634,-0.45562413,-0.26367697,-0.67491555,-0.31674814,0.63929003,0.005184398,0.2370376,-0.7539854,-0.32664868,0.685418,0.1328943,-0.46073768,0.03753349,-0.40514004,1,train
TCGA-DX-A7EM-01A,0.20243913,-0.04019062,-0.38620076,-0.39646366,-0.23433445,0.2041563,0.012139194,0.41319907,-0.39008686,-0.0171967,0.39937708,0.32330114,-0.5034956,0.10571483,-0.7716895,1,train
TCGA-DX-A48J-01A,0.8586131,-0.09485043,0.100270964,-0.015217094,0.05064405,0.42269963,0.037924975,0.24000756,0.34478366,-0.008636414,0.113342874,-0.6192163,0.26007524,0.20883045,-0.6373517,1,train
TCGA-SG-A849-01A,-0.07496391,0.47459364,-0.35557064,-0.12571701,-0.032189053,0.22925599,0.0093995845,-0.019578613,-0.85427576,-0.3097749,-0.015352276,-0.04235136,-0.34227395,0.7444231,0.6131456,2,train
TCGA-K1-A42X-02A,-0.7408508,0.74320906,-0.07209229,0.04609673,0.2089038,-0.08709881,0.11343066,-0.064957246,0.59467703,0.16774295,0.56423676,-0.88229215,0.23061104,-0.7677291,-0.5281074,1,train
TCGA-DX-A3UB-01A,0.11702037,0.23299666,-0.20134625,-0.29470932,-0.04686371,-0.2475222,-0.08314733,-0.11785175,0.020714125,-0.0009001017,-0.027649226,-0.45118704,0.20216271,-0.1272783,-0.061450545,1,train
TCGA-DX-A2J0-01A,-0.21488975,-0.20060565,0.38450152,0.1380788,0.2567139,-0.13964699,-0.18921061,0.028108256,0.43145108,0.11116861,-0.15840112,0.352931,0.33631924,0.47539124,-0.09168675,0,train
TCGA-DX-A23V-01A,-0.14428587,-0.2931948,0.3751293,-0.0013535126,0.20485282,-0.83902514,0.10082436,-0.47398728,0.44742116,-0.25828183,-0.3837319,-0.229608,0.02309098,0.29431695,-0.030470636,0,train
TCGA-DX-A240-01A,-0.020308202,0.16496469,-0.17450286,-0.061593078,-0.025541369,-0.16471668,-0.07593599,-0.10977094,0.019322291,-0.036495157,-0.10315166,-0.2373433,0.3534449,-0.21148252,0.25909713,0,train
TCGA-DX-A23T-01A,-0.25165617,-0.22787517,-0.024381397,0.3316464,0.272667,-1.0034673,-0.42186624,-0.5783763,-0.21796624,-0.056269728,-0.19038908,-0.264026,-0.39184558,0.5021676,0.15110703,0,train
TCGA-3B-A9HI-01A,0.2977965,-0.6725517,-0.49977875,0.3520699,0.45641702,0.008403336,0.2743245,0.3258464,-0.78711706,-0.26773536,-0.3881172,-0.21123205,-0.1456146,0.23082012,0.3619323,0,train
