Model,Accuracy,Precision (Macro),Precision (Micro),Recall (Macro),Recall (Micro),F1 (Macro),F1 (Micro),C-Index,N_Features
Random Forest,0.6829268292682927,0.4877344877344878,0.6829268292682927,0.5256322624743677,0.6829268292682927,0.49861111111111106,0.6829268292682927,0.8415803541771034,2000
Logistic Regression,0.6829268292682927,0.48333333333333334,0.6829268292682927,0.5222146274777854,0.6829268292682927,0.49539835164835166,0.6829268292682927,0.8254842826824251,2000
SVM (Linear),0.6829268292682927,0.49358974358974356,0.6829268292682927,0.5352016404647983,0.6829268292682927,0.5024844720496894,0.6829268292682927,0.746140644283059,2000
K-Nearest Neighbors,0.6585365853658537,0.4727941176470588,0.6585365853658537,0.48650034176349966,0.6585365853658537,0.4766979255470304,0.6585365853658537,0.7941410719854991,2000
XGBoost,0.5609756097560976,0.36420454545454545,0.5609756097560976,0.3764524948735475,0.5609756097560976,0.36527215474583896,0.5609756097560976,0.738959599098918,2000
Gradient Boosting,0.4878048780487805,0.4083333333333333,0.4878048780487805,0.35953520164046476,0.4878048780487805,0.3622994652406417,0.4878048780487805,0.65431587351092,2000
SVM (RBF),0.4634146341463415,0.11585365853658537,0.4634146341463415,0.25,0.4634146341463415,0.15833333333333333,0.4634146341463415,0.5,2000
Naive Bayes,0.4634146341463415,0.21031746031746032,0.4634146341463415,0.34022556390977443,0.4634146341463415,0.2582815734989648,0.4634146341463415,0.5651662578907161,2000
Decision Tree,0.36585365853658536,0.4022727272727273,0.36585365853658536,0.33351845522898155,0.36585365853658536,0.3181818181818182,0.36585365853658536,0.5691608270749138,2000
