Model,Accuracy,Precision (Macro),Precision (Micro),Recall (Macro),Recall (Micro),F1 (Macro),F1 (Micro),C-Index,N_Features
K-Nearest Neighbors,0.7317073170731707,0.5996642246642246,0.7317073170731707,0.5978725222146275,0.7317073170731707,0.5958011583011582,0.7317073170731707,0.8243984296809375,4000
Random Forest,0.7073170731707317,0.5330357142857143,0.7073170731707317,0.5387901572112098,0.7073170731707317,0.5268575851393189,0.7073170731707317,0.8246505957225772,4000
Logistic Regression,0.6829268292682927,0.48333333333333334,0.6829268292682927,0.5222146274777854,0.6829268292682927,0.49539835164835166,0.6829268292682927,0.8209007125415795,4000
SVM (Linear),0.6829268292682927,0.47500000000000003,0.6829268292682927,0.5222146274777854,0.6829268292682927,0.48988364576599874,0.6829268292682927,0.7556849492027511,4000
XGBoost,0.6341463414634146,0.4654040404040404,0.6341463414634146,0.4767600820232399,0.6341463414634146,0.4662162162162162,0.6341463414634146,0.7662379273447384,4000
Decision Tree,0.5121951219512195,0.4641025641025641,0.5121951219512195,0.42818694463431306,0.5121951219512195,0.42983716475095785,0.5121951219512195,0.633868728857119,4000
SVM (RBF),0.4634146341463415,0.11585365853658537,0.4634146341463415,0.25,0.4634146341463415,0.15833333333333333,0.4634146341463415,0.5,4000
Gradient Boosting,0.43902439024390244,0.40403469079939663,0.43902439024390244,0.34701811346548184,0.43902439024390244,0.36835839598997494,0.43902439024390244,0.7065385723667458,4000
Naive Bayes,0.43902439024390244,0.1640625,0.43902439024390244,0.2593984962406015,0.43902439024390244,0.19999999999999998,0.43902439024390244,0.5153583028970026,4000
