,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-FX-A2QS-01A,-0.7813403,-0.17437267,0.25123963,-0.033325512,0.009922645,-0.19483103,0.040473018,1.2406787,-0.44883853,-0.0131721655,0.051191244,0.58480245,0.36157578,0.011206253,-0.15503332,0,train
TCGA-FX-A76Y-01A,-0.15216729,-0.17052908,0.12730834,0.5026526,-0.19840842,0.17145306,0.30418113,-0.8540262,0.20022504,0.4107999,-0.23921743,-0.49183843,-0.34199733,-0.49901262,-0.09283494,1,train
TCGA-DX-A8BO-01A,-0.22065409,0.2698961,-0.17090054,-0.061730176,-0.34287205,-0.23738176,-0.36931488,-0.23025975,0.4539286,-0.19032668,-0.31795862,-0.19496948,-0.3361414,0.106341675,0.45997196,2,train
TCGA-DX-A48R-01A,0.66509783,0.09232169,0.050819274,-0.39703086,0.119827434,0.7052363,0.19551936,-0.12982903,0.29958728,0.48790586,0.4793654,0.08175727,-0.02392525,-0.34369528,0.3179675,1,train
TCGA-DX-A6BB-01A,0.3797222,0.14251897,-0.0257102,-0.51733154,-0.47807303,0.6458372,0.14797911,-0.4324701,-0.03790063,0.33347136,0.17154089,-0.61926836,-0.049565822,0.036583826,0.003941175,1,train
TCGA-DX-A3LW-01A,0.040833518,-0.05494008,0.08538461,-0.43814853,0.28514442,0.78325176,0.1508083,-0.19228771,0.057454508,-0.2749821,-0.4966315,-0.43146914,0.52819645,0.37738472,-0.060454592,0,train
TCGA-QC-AA9N-01A,-1.4738348,2.2656965,0.100588225,-0.8428864,-1.2529628,0.3348644,-0.2731133,-0.6481843,-0.5138194,-0.23359556,-0.13736169,-0.12063644,-0.65939444,0.46289214,-0.17462976,2,train
TCGA-WK-A8XO-01A,-0.49448845,0.32869372,-0.1001328,-0.46374607,-0.2858523,-0.49157852,0.07639076,0.11368434,-0.0063480944,-0.07520886,0.05807518,0.01528837,-0.14002846,0.18074585,0.13370219,0,train
TCGA-3B-A9HL-01A,0.24377413,0.19075575,0.24392492,0.11645313,0.021387558,-0.29410693,0.029066779,0.71657485,-0.9386223,-0.009244802,-0.41224575,-0.18392208,0.64940196,0.039725788,-0.05389352,0,train
TCGA-DX-A3U5-01A,0.38427308,0.22346376,-0.015562332,-0.9085714,0.24092637,0.14696713,0.030734224,-0.032610144,0.090055175,-0.098658495,-0.8366143,0.10588514,0.07359889,-0.13723254,0.26763362,0,train
TCGA-DX-A1L0-01A,-0.045293685,0.068941444,0.48989886,-0.010132801,0.4759995,0.11742283,-0.083492495,0.22217587,-0.3445253,0.09371369,-0.54685634,0.58254474,0.28713548,0.07778181,0.13329974,0,train
TCGA-DX-A8BH-01A,0.030148009,-0.05806683,1.1912807,0.10846238,-0.07184013,-0.68432724,-0.6944728,-0.091835335,0.2578494,-0.5416911,-0.019598326,0.068135135,-0.42976776,0.55723804,-0.063936174,2,train
TCGA-PC-A5DL-01A,0.32938933,-0.39317584,0.23709735,0.084020846,-0.29766792,0.19144684,0.44352403,-0.045931984,-0.48259944,0.44053602,0.36848924,-0.61219454,-0.02164845,0.38567477,-0.1879237,1,train
TCGA-FX-A48G-01A,0.005028573,-0.000103875034,0.06700813,-0.10331059,0.36935592,0.18851909,0.4414115,-0.4404229,0.5916855,-0.030861827,-0.055188477,-0.7616488,0.20952003,-0.65900713,-0.062144984,1,train
TCGA-IF-A4AJ-01A,-0.03281327,0.17667542,0.15749766,-0.21052915,-0.50725955,0.02641767,0.06672004,0.9156912,-0.74631685,0.22897321,0.774303,-0.12132987,0.06304513,0.01882686,-0.23485,1,train
TCGA-DX-A7EM-01A,0.020405494,-0.1567606,0.01975204,0.15685509,-0.06602294,0.025054313,0.20688683,0.4348932,-0.37274447,0.49224538,0.6021756,0.11997156,-0.27690423,0.22390993,-0.10385723,1,train
TCGA-DX-A48J-01A,0.7017455,-0.22230475,0.060565684,-0.32074943,-0.19299698,0.44814283,0.1822802,-0.48241675,0.093415424,0.40412754,0.09805467,-0.6696078,0.108342506,0.19985728,-0.1320769,1,train
TCGA-SG-A849-01A,-0.27099112,0.6344017,-0.058605388,0.06397387,0.047884263,-0.655092,0.123130724,0.008388588,-0.5889168,-0.3923796,0.077106334,0.3467329,-0.55811375,0.36100712,0.13572994,2,train
TCGA-K1-A42X-02A,-0.14332595,-0.027865838,0.021914752,-0.08060095,0.031197384,-0.38787434,0.6472351,-0.5291373,0.7707318,0.35657468,0.08985944,-0.5647792,0.34613144,-0.9292082,-0.6956305,1,train
TCGA-DX-A3UB-01A,0.038630545,-0.11315988,-0.31136465,-0.09855756,-0.036531348,-0.24757487,-0.35861695,-0.27024984,0.17317395,0.28809932,-0.18255179,-0.23260565,-0.07054666,-0.047977287,0.07280981,1,train
TCGA-DX-A2J0-01A,-0.3197824,-0.031171156,-0.14284328,0.109330185,0.021994136,0.068839096,0.27718565,0.35597375,0.2412849,-0.16641244,-0.29172876,0.18613398,0.2022026,0.42373958,-0.37064978,0,train
TCGA-DX-A23V-01A,-0.060329374,-0.08567546,-0.120732136,-0.12295445,-0.0060485504,-0.23391084,-0.44881403,-0.27552336,0.25870103,0.12705122,-0.6045492,-0.2047469,0.08192218,0.3199128,0.11158317,0,train
TCGA-DX-A240-01A,-0.0030167436,-0.1130214,0.09442951,-0.2547688,-0.004758067,-0.17482921,-0.1569397,-0.33367276,-0.24659295,-0.1820735,-0.11335582,-0.16652346,0.13953918,-0.21861711,0.20973189,0,train
TCGA-DX-A23T-01A,-0.32224548,0.0035506617,-0.12228336,0.7658603,0.029994303,-0.8454853,-0.0765138,0.089903474,-0.36916974,-0.07071518,-0.32233053,-0.009936832,-0.33868837,0.6241039,-0.16595814,0,train
TCGA-3B-A9HI-01A,0.30380267,-0.28690398,0.1938295,0.19039147,0.11131137,-0.24059819,0.2862979,-0.031151233,-0.66509223,-0.48116356,-0.07916909,-0.13238408,0.06921023,0.3158499,-0.02745215,0,train
TCGA-DX-A6Z2-01A,0.32239923,0.21296409,-0.06043804,-0.3769947,-0.48857296,0.39809048,0.32729405,-0.17953794,0.35986158,0.11498782,0.33210298,-0.50192964,-0.21946734,0.18759291,-0.27635083,1,train
