N_Features,Best_Model,Accuracy,F1_Macro,C_Index
2000,Random Forest,0.6829268292682927,0.49861111111111106,0.8415803541771034
4000,K-Nearest Neighbors,0.7317073170731707,0.5958011583011582,0.8243984296809375
6000,K-Nearest Neighbors,0.7317073170731707,0.548202614379085,0.7791095906227485
10000,K-Nearest Neighbors,0.7560975609756098,0.6511538276244159,0.8501486770836615
