,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-DX-A8BV-01A,-0.030047021806240082,-0.3564794957637787,-0.044434867799282074,0.04585762694478035,-0.6665390729904175,0.16063718497753143,-0.0941612720489502,0.8134439587593079,0.05282307416200638,-0.15366573631763458,-0.021616144105792046,0.6311373710632324,0.37121444940567017,-0.3163608908653259,-0.11164247244596481,1,train
TCGA-DX-A7EL-01A,-0.8495566248893738,0.1786315143108368,0.1975778043270111,0.05485715717077255,0.4443122148513794,-0.434702068567276,-0.123713418841362,-0.37832844257354736,0.2903973162174225,-0.3199571371078491,0.8206579685211182,-0.1692444533109665,0.3247002065181732,0.3029896020889282,0.17434744536876678,2,train
TCGA-DX-A48O-01A,-0.14527671039104462,0.07374108582735062,-0.3870929777622223,0.4042348563671112,0.6003624796867371,-0.5805972218513489,-0.08554936200380325,-0.7396125793457031,0.3163152039051056,0.006955225020647049,0.5524239540100098,0.009138230234384537,-0.33958104252815247,0.3214949071407318,-0.05573856085538864,2,train
TCGA-DX-A6Z0-01A,-0.6616753935813904,-0.13955579698085785,0.068216472864151,-0.4792468845844269,-0.5987901091575623,0.5335053205490112,-0.2908895015716553,0.5311768651008606,0.0641687884926796,0.09306081384420395,-0.004031380172818899,0.22157835960388184,-0.0028576417826116085,-0.3603980541229248,-0.653437614440918,1,train
TCGA-IW-A3M4-01A,0.5366175174713135,-0.19566236436367035,-0.020148448646068573,0.493183970451355,0.5502756237983704,-0.7611750960350037,-0.22850148379802704,-0.1852438747882843,-0.3318019509315491,0.09431396424770355,0.156961590051651,-0.646389365196228,-0.18101516366004944,-0.3583725094795227,0.6863253712654114,2,train
TCGA-3B-A9HL-01A,0.2887081205844879,-0.5960232019424438,0.002461913274601102,-0.0663733184337616,-0.6130800247192383,0.09387443214654922,0.04103311151266098,0.22975899279117584,0.20757350325584412,-0.2166619449853897,-0.21741092205047607,0.4422781467437744,0.06343144178390503,0.19734792411327362,-0.38086286187171936,0,train
TCGA-MJ-A68H-01A,-0.29702842235565186,-0.21153996884822845,-0.35924169421195984,0.22379286587238312,-0.3573477268218994,-0.33595067262649536,-0.15435290336608887,0.4851228594779968,0.08903798460960388,0.00786611158400774,0.45687010884284973,-0.6845088005065918,0.13457615673542023,0.29593610763549805,0.0021315987687557936,2,train
TCGA-PC-A5DL-01A,0.0267303679138422,0.09748419374227524,-0.005076186265796423,0.30473247170448303,-0.1654539853334427,-0.6727744340896606,-0.1927388310432434,0.3301162123680115,0.26255422830581665,0.2008068561553955,0.8058441281318665,0.41952672600746155,0.30769437551498413,0.12286781519651413,-0.191785529255867,2,train
TCGA-HB-A43Z-01A,0.48165860772132874,-0.2631305158138275,-0.07382666319608688,0.0564640536904335,-0.46063709259033203,-0.13162624835968018,-0.403184175491333,-0.010637542232871056,0.0440157875418663,0.057058826088905334,0.5568702220916748,-0.7872273921966553,-0.14166872203350067,0.25867560505867004,0.09409702569246292,2,train
TCGA-DX-AB35-01A,0.3032214343547821,-0.6196158528327942,0.09808305650949478,0.07824666053056717,-0.13377045094966888,0.16806933283805847,0.5046942830085754,0.3333245515823364,-0.15221478044986725,-0.16162748634815216,-0.1238187775015831,0.7605018019676208,0.17692697048187256,-0.13915136456489563,-0.595878541469574,0,train
TCGA-DX-A3UD-01A,0.16334709525108337,0.578571617603302,-0.3811969459056854,-0.2282298356294632,0.13762161135673523,-0.16162969172000885,0.5228843092918396,0.9964990019798279,-0.2468319833278656,-0.14140625298023224,0.6342974305152893,0.12661737203598022,-0.12840169668197632,0.6488221883773804,-0.21097297966480255,2,train
TCGA-DX-A1KY-01A,0.428107351064682,-0.7989702820777893,0.030994605273008347,-0.5721847414970398,-0.7325904369354248,0.8372893929481506,-0.12737655639648438,-0.1593911349773407,-0.5846336483955383,-0.11422060430049896,0.3930218517780304,-0.41356486082077026,0.008576551452279091,0.6980686783790588,0.5707549452781677,0,train
